Price,Close,High,Low,Open,Volume
Ticker,YM=F,YM=F,YM=F,YM=F,YM=F
Date,,,,,
2002-04-05,10290.0,10340.0,10222.0,10246.0,4234
2002-04-08,10268.0,10280.0,10105.0,10277.0,4407
2002-04-09,10222.0,10311.0,10205.0,10290.0,6189
2002-04-10,10383.0,10399.0,10215.0,10229.0,6372
2002-04-11,10170.0,10378.0,10158.0,10378.0,5387
2002-04-12,10194.0,10240.0,10140.0,10210.0,6740
2002-04-15,10093.0,10230.0,10068.0,10196.0,4122
2002-04-16,10304.0,10344.0,10132.0,10141.0,5340
2002-04-17,10228.0,10338.0,10185.0,10309.0,4857
2002-04-18,10175.0,10272.0,10040.0,10238.0,4241
2002-04-19,10252.0,10274.0,10140.0,10140.0,3306
2002-04-22,10135.0,10263.0,10111.0,10247.0,7043
2002-04-23,10095.0,10177.0,10065.0,10148.0,6065
2002-04-24,10020.0,10161.0,10015.0,10115.0,8117
2002-04-25,10042.0,10045.0,9919.0,10015.0,4615
2002-04-26,9865.0,10077.0,9860.0,10036.0,5401
2002-04-29,9818.0,9933.0,9806.0,9907.0,6327
2002-04-30,9930.0,10003.0,9817.0,9836.0,6247
2002-05-01,10070.0,10081.0,9820.0,9963.0,4509
2002-05-02,10090.0,10114.0,10029.0,10076.0,5546
2002-05-03,9986.0,10108.0,9920.0,10074.0,5290
2002-05-06,9790.0,10018.0,9781.0,10004.0,6603
2002-05-07,9800.0,9920.0,9790.0,9800.0,8012
2002-05-08,10115.0,10148.0,9871.0,9875.0,6699
2002-05-09,10033.0,10134.0,10008.0,10127.0,5086
2002-05-10,9930.0,9933.0,9933.0,9933.0,5584
2002-05-13,10105.0,10111.0,9915.0,9938.0,5805
2002-05-14,10291.0,10297.0,10089.0,10110.0,7445
2002-05-15,10265.0,10349.0,10220.0,10291.0,6459
2002-05-16,10293.0,10319.0,10228.0,10267.0,3860
2002-05-17,10337.0,10364.0,10256.0,10333.0,5071
2002-05-20,10240.0,10335.0,10210.0,10335.0,5373
2002-05-21,10123.0,10285.0,10087.0,10232.0,6804
2002-05-22,10152.0,10159.0,10062.0,10135.0,5867
2002-05-23,10220.0,10228.0,10086.0,10127.0,4769
2002-05-24,10093.0,10245.0,10085.0,10221.0,7196
2002-05-28,10003.0,10143.0,9965.0,10125.0,6608
2002-05-29,9925.0,9998.0,9915.0,9995.0,8621
2002-05-30,9921.0,9967.0,9801.0,9940.0,5173
2002-05-31,9905.0,10047.0,9889.0,9935.0,7626
2002-06-03,9683.0,9990.0,9678.0,9899.0,10168
2002-06-04,9700.0,9750.0,9593.0,9700.0,6210
2002-06-05,9805.0,9812.0,9688.0,9735.0,6595
2002-06-06,9630.0,9821.0,9510.0,9800.0,6285
2002-06-07,9590.0,9641.0,9468.0,9546.0,7694
2002-06-10,9654.0,9718.0,9560.0,9614.0,7581
2002-06-11,9525.0,9764.0,9505.0,9642.0,8481
2002-06-12,9622.0,9633.0,9448.0,9546.0,1710
2002-06-13,9514.0,9655.0,9488.0,9652.0,667
2002-06-14,9480.0,9505.0,9250.0,9505.0,315
2002-06-17,9681.0,9697.0,9513.0,9515.0,165
2002-06-18,9756.0,9720.0,9641.0,9651.0,105
2002-06-19,9563.0,9736.0,9541.0,9640.0,152
2002-06-20,9423.0,9563.0,9405.0,9555.0,8120
2002-06-21,9267.0,9480.0,9205.0,9420.0,13579
2002-06-24,9310.0,9382.0,9070.0,9270.0,9588
2002-06-25,9105.0,9405.0,9100.0,9338.0,8572
2002-06-26,9115.0,9171.0,8864.0,9000.0,7884
2002-06-27,9266.0,9278.0,9025.0,9140.0,3833
2002-06-28,9230.0,9360.0,9222.0,9289.0,5200
2002-07-01,9096.0,9324.0,9088.0,9225.0,5132
2002-07-02,9010.0,9141.0,8958.0,9076.0,5684
2002-07-03,9047.0,9070.0,8893.0,9025.0,2965
2002-07-05,9392.0,9412.0,9050.0,9052.0,4999
2002-07-08,9278.0,9393.0,9237.0,9393.0,5063
2002-07-09,9098.0,9324.0,9077.0,9295.0,6867
2002-07-10,8795.0,9172.0,8775.0,9096.0,8689
2002-07-11,8797.0,8858.0,8597.0,8803.0,6930
2002-07-12,8648.0,8879.0,8590.0,8830.0,11583
2002-07-15,8662.0,8689.0,8232.0,8636.0,7363
2002-07-16,8473.0,8664.0,8395.0,8662.0,9272
2002-07-17,8525.0,8721.0,8402.0,8439.0,7452
2002-07-18,8365.0,8630.0,8341.0,8520.0,8843
2002-07-19,7998.0,8356.0,7948.0,8351.0,13743
2002-07-22,7785.0,8113.0,7698.0,7920.0,10119
2002-07-23,7698.0,7950.0,7646.0,7815.0,12974
2002-07-24,8205.0,8230.0,7460.0,7685.0,11207
2002-07-25,8170.0,8306.0,7918.0,8200.0,6928
2002-07-26,8267.0,8273.0,8084.0,8170.0,8746
2002-07-29,8665.0,8711.0,8277.0,8290.0,9778
2002-07-30,8694.0,8757.0,8530.0,8645.0,10510
2002-07-31,8705.0,8770.0,8523.0,8660.0,10082
2002-08-01,8478.0,8706.0,8452.0,8687.0,9153
2002-08-02,8300.0,8493.0,8185.0,8460.0,10592
2002-08-05,8037.0,8302.0,8011.0,8295.0,10584
2002-08-06,8285.0,8413.0,7980.0,8022.0,11966
2002-08-07,8440.0,8460.0,8205.0,8325.0,11639
2002-08-08,8695.0,8709.0,8414.0,8440.0,8097
2002-08-09,8725.0,8791.0,8562.0,8675.0,6530
2002-08-12,8670.0,8721.0,8567.0,8721.0,6899
2002-08-13,8480.0,8738.0,8454.0,8675.0,10920
2002-08-14,8720.0,8751.0,8350.0,8482.0,12381
2002-08-15,8807.0,8858.0,8682.0,8720.0,6414
2002-08-16,8765.0,8837.0,8705.0,8775.0,7477
2002-08-19,8967.0,8997.0,8700.0,8830.0,6202
2002-08-20,8885.0,8974.0,8815.0,8951.0,10128
2002-08-21,8975.0,8985.0,8799.0,8884.0,7896
2002-08-22,9040.0,9081.0,8927.0,8987.0,6746
2002-08-23,8868.0,9075.0,8823.0,9075.0,8119
2002-08-26,8910.0,8955.0,8753.0,8875.0,9385
2002-08-27,8835.0,9024.0,8779.0,8900.0,6879
2002-08-28,8682.0,8854.0,8639.0,8845.0,7858
2002-08-29,8653.0,8744.0,8557.0,8690.0,6415
2002-08-30,8633.0,8784.0,8594.0,8650.0,13957
2002-09-03,8298.0,8580.0,8289.0,8568.0,10378
2002-09-04,8390.0,8455.0,8279.0,8297.0,10561
2002-09-05,8313.0,8386.0,8209.0,8378.0,9706
2002-09-06,8433.0,8480.0,8292.0,8292.0,10758
2002-09-09,8492.0,8559.0,8313.0,8428.0,12006
